% Model,results1.mph
% Version,COMSOL 5.5.0.292
% Date,"Nov 27 2020, 21:48"
% Table,learning parameters - learning parameters
% r (m),phi2,PL (Pa),Dr,cL (mol/m^3),porosity (1),Thiele modulus,Peclet number (1),diffusion ratio of flow to cell phase [0.01-1],normalized intrinsic average concentration in flow domain 1 (1),normalized intrinsic average concentration in flow domain 2 (1),normalized intrinsic average concentration in flow domain 3 (1),normalized intrinsic average concentration in flow domain 4 (1),normalized intrinsic average concentration in flow domain 5 (1),normalized forward finite difference on intrinsic average concentration in domain 1 (1),normalized forward finite difference on intrinsic average concentration in domain 2 (1),normalized center finite difference on intrinsic average concentration in domain 3 (1),normalized center finite difference on intrinsic average concentration in domain 4 (1),normalized backward finite difference on intrinsic average concentration in domain 5 (1),Effectiveness factor in domain 1 (1),Effectiveness factor in domain 2 (1),Effectiveness factor in domain 3 (1),Effectiveness factor in domain 4 (1),Effectiveness factor in domain 5 (1)
8.3266E-7,2.32272,7378.90804,0.19758,3.6925,0.515969461281738,2.32272,78.18050583370884,0.19758,3.643349436033518,3.5708359576764637,3.5007180661058634,3.4310431825245034,3.3619147256369266,0.02012635762959493,0.019461454531725327,0.01939997535967188,0.01926266491247749,0.019186833637336552,0.904369971188966,0.9009433371779059,0.8980466649840162,0.8950823753492912,0.8921600389481873
6.487E-7,14.2425,2803.24209,0.27625,8.7251,0.7062180191447321,14.2425,78.01651328339248,0.27625,8.508677547858216,8.23479039942071,7.990563004339828,7.753667695541846,7.519576699927985,0.059223531063803396,0.0528101037296561,0.05201738300103648,0.050921469278660446,0.05061827628490403,0.7973734364313735,0.7815262800640729,0.7715934648200861,0.7623206870726006,0.7532566070331881
9.8771E-7,19.0393,12563.051,0.77042,8.5409,0.3189229277334482,19.0393,14.580456461241106,0.77042,5.2804646589855295,1.339341979337356,0.1890867423078874,0.02018173900658642,0.00204460145626355,1.2975620939717656,0.37870620005545874,0.21715796016285074,0.030790565490092896,0.005971410709943134,0.8192687501092254,0.5025804852210424,0.32172620291379356,0.2892570149927538,0.286036470764761
6.3719E-7,9.93703,1358.18802,0.8317,2.0059,0.7165507829369557,9.93703,39.340308738252595,0.8317,1.8516433053819292,1.6522558260804256,1.4798728652883488,1.3224054585107925,1.178816475324956,0.04234923597870835,0.03661356626236781,0.035029559285282424,0.03197168685346238,0.03049782139872773,0.6725914063786143,0.6304961670420469,0.6042059429449431,0.5792992407696546,0.556782285125662
7.9357E-7,27.5146,2992.86659,0.1427,3.1844,0.5603492262419024,27.5146,41.71510394108485,0.1427,2.9115847358227276,2.5182676365306307,2.171180679284082,1.8617582927633962,1.5878297390455436,0.10404155016174312,0.0918125988873812,0.08683101998889405,0.07715496760751615,0.07246049412462544,0.2874191981683707,0.26714080510661337,0.2500668934514088,0.234100756922542,0.21919223828104764
5.0279E-7,43.6019,858.491987,0.52538,0.48951,0.8235138530283692,43.6019,35.67606668232793,0.52538,0.4367954474735332,0.3802782345701409,0.3360596276615887,0.2974343312359798,0.26319116981033325,0.00947209649189887,0.0074108911225169915,0.00694218102623048,0.006106255320505455,0.005739039711066941,0.13293390010254208,0.11520357423082682,0.11071968367576551,0.1076264047073982,0.10513085198386492
9.0889E-7,33.4456,17031.2137,0.15887,2.3295,0.4232866440632814,33.4456,85.68723592189606,0.15887,2.139575767388279,1.8604782814768048,1.6128950732673435,1.3918499664589599,1.195641546524591,0.08455630465669324,0.07500863403649911,0.07098859820609486,0.06320625965353671,0.05944395693138281,0.24833437338951597,0.233202541666673,0.22020094671915033,0.20810346422925727,0.19688503504754973
8.979E-7,73.1073,13093.6956,0.2316,4.9973,0.4371491814220522,73.1073,75.14584297732073,0.2316,4.408558008563588,3.5670519073360527,2.8561390570831082,2.2567952516483336,1.7603451963370302,0.2518627760974014,0.2127762160807063,0.19607990852366716,0.16398555126065056,0.1485875015546731,0.2701437967883719,0.24153086788587125,0.21681732666187886,0.19397063885090884,0.17371200305009404
8.8045E-7,79.8432,3888.77587,0.34536,1.8865,0.4588137492235354,79.8432,26.96163263427716,0.34536,1.2498694127585934,0.5466688106034716,0.22784227490865952,0.09256858933031961,0.03715951601879289,0.2063776567224923,0.09357027445083244,0.06663542330332445,0.027981105844097177,0.0162616395323779,0.1594620875486643,0.1180204707271503,0.09808352356558125,0.08904346912552066,0.08538964764424962
9.119E-7,65.6113,10484.7493,0.56413,5.6825,0.41946047889259996,65.6113,50.78427278269726,0.56413,4.496535618258137,2.871327406487293,1.7475503029948474,1.017462727185678,0.5718275723541095,0.49400912277127745,0.3415907802249204,0.28175653350919044,0.17869025967854815,0.13545823256363576,0.40847435589872555,0.3230288635142745,0.25432180652556224,0.20250118554657603,0.16706772165906816
9.9474E-7,35.3448,6139.30488,0.062198,5.3847,0.3091933290660154,35.3448,5.754463187868603,0.062198,2.516645076744635,0.25077479883972276,0.013474479947986293,6.421954895321249E-4,3.030802970429536E-5,0.7513172667477109,0.07868403973812198,0.0414694843094281,0.002228909262331972,2.0288964392971173E-4,0.16625181824193458,0.08780967931969069,0.07825105236438025,0.07779371997251816,0.07794684322372067
